Index,Role,KPP Goals,Measurement Criteria,Tool,Measure,Type,Aggregation Type,Weekly Target,Quarterly Target,Annual Target,Goal Type,Prorate
k1,Developer,Code Efficiency: Write efficient and optimized code.,Code Efficiency: Measured through usage of GenAI tools,Copilot Metrics,Copilot LOC,NG,ANG,40,450,1800,Hygiene,Yes
k2,All,Bug Resolution Time: Reduce the time taken to fix bugs.,Bug Resolution Time: Average time taken to resolve reported bugs (Team Level),JIRA,Bugs: Created -> Done : Average Number of days (Product Level),NL,ANL,10,5,20,Hygiene,No
k3,Developer,Feature Implementation: Deliver new features within deadlines.,Feature Implementation: Number of features delivered on time.,JIRA,Story Points ,NG,ANG,4,45,180,Output,Yes
k4,Developer,Code Quality: Maintain high code quality and readability.,"Code Quality: Code review scores, adherence to coding standards.",GitHub,Review comments received <,NL,ANL,25,125,500,Quality,Yes
k5,All,Learning Curve: Quickly adapt to new technologies and tools.,"Learning Curve: Progress in learning new technologies, assessed through quizzes and project involvement.",Trainings,Number of trainings,NG,ANG,1,6.25,25,Input,Yes
k6,Junior Software Engineer,Boilerplate Code Generation: Efficiently generate boilerplate code.,Boilerplate Code Generation: Time taken to set up initial project files.,Copilot Metrics,Copilot LOC,NG,ANG,80,1250,5000,Hygiene,Yes
k7,Junior Software Engineer,Task Completion: Complete assigned tasks with minimal errors.,Task Completion: Number of tasks completed correctly on the first attempt.,JIRA,Story Points ,NG,ANG,4,45,180,Output,Yes
k8,Software Engineer,"Code Quality: Write clean, maintainable code.",Code Quality: Code review scores and adherence to best practices.,GitHub,Review comments received <,NL,ANL,25,125,500,Quality,Yes
k9,Developer,Debugging Skills: Effectively identify and resolve bugs.,Debugging Skills: Time taken to debug and fix issues.,JIRA,Average Dev Cycle time for Bugs (Individual Contributions),NL,ANL,10.0,10.0,10.0,Output,No
k10,Software Engineer,Refactoring: Improve existing codebase without introducing new bugs.,Refactoring: Number of successful refactorings without regressions.,GitHub,Modified LOC,,,25,375,1500,,Yes
k11,Tech Lead,Team Guidance: Provide effective technical guidance to the team.,Team Guidance: Team’s performance and feedback.,Copilot tracker,Help instances,NG,ANG,1,12,48,,Yes
k12,Tech Lead,Code Review: Ensure high code quality across the team.,Code Review: Quality and frequency of code reviews.,GitHub,Number of reviews where approver,NG,ANG,1,12.5,50,Hygiene,Yes
k13,Tech Lead,Project Delivery: Ensure projects are delivered on time.,Project Delivery: Timeliness of project delivery.,JIRA, SP delivered/team member (RM Heirarchy),NG,ANG,3.8,35,140,Output,Yes
k14,Tech Lead,Planning: Develop detailed plans and deliver,Adherence to release plans.,JIRA,Sprint content as per plan (Team Delayed SP <),NL,ANL,0,5,20,Hygiene,Yes
k15,Integration Tester,Test Coverage: Ensure comprehensive test coverage.,Test Coverage: Percentage of code covered by tests.,Copilot tracker,# New Tests / KLOC committed (Team),PG,APG,8,1.5,6,Quality,No
